チーム名,ポジション,名前,生年月日,身長,体重
阪神タイガース,監督,藤川　球児,1980.07.21,,
阪神タイガース,投手,岩崎　優,1991.06.19,185,92
阪神タイガース,投手,岩貞　祐太,1991.09.05,183,86
阪神タイガース,投手,西　勇輝,1990.11.10,181,83
阪神タイガース,投手,伊原　陵人,2000.08.07,170,75
阪神タイガース,投手,下村　海翔,2002.03.27,174,70
阪神タイガース,投手,大竹　耕太郎,1995.06.29,184,87
阪神タイガース,投手,椎葉　剛,2002.03.18,183,92
阪神タイガース,投手,伊藤　将司,1996.05.08,179,83
阪神タイガース,投手,今朝丸　裕喜,2006.06.02,188,75
阪神タイガース,投手,髙橋　遥人,1995.11.07,181,82
阪神タイガース,投手,門別　啓人,2004.07.10,183,86
阪神タイガース,投手,才木　浩人,1998.11.07,189,90
阪神タイガース,投手,畠　世周,1994.05.31,186,94
阪神タイガース,投手,及川　雅貴,2001.04.18,184,86
阪神タイガース,投手,村上　頌樹,1998.06.25,175,84
阪神タイガース,投手,ルーカス,1996.09.23,191,94
阪神タイガース,投手,早瀬　朔,2007.08.30,185,79
阪神タイガース,投手,ラグズデール,1998.05.25,203,106
阪神タイガース,投手,桐敷　拓馬,1999.06.20,179,92
阪神タイガース,投手,茨木　秀俊,2004.06.08,183,87
阪神タイガース,投手,工藤　泰成,2001.11.19,177,82
阪神タイガース,投手,富田　蓮,2001.09.06,176,78
阪神タイガース,投手,早川　太貴,1999.12.18,186,93
阪神タイガース,投手,木下　里都,2001.01.27,183,89
阪神タイガース,投手,能登　嵩都,2001.09.29,184,88
阪神タイガース,投手,石黒　佑弥,2001.06.20,180,86
阪神タイガース,投手,岡留　英貴,1999.11.07,181,96
阪神タイガース,投手,湯浅　京己,1999.07.17,183,86
阪神タイガース,投手,津田　淳哉,2001.08.27,179,82
阪神タイガース,投手,石井　大智,1997.07.29,175,79
阪神タイガース,投手,ドリス,1988.01.10,196,106
阪神タイガース,投手,モレッタ,1996.04.15,188,102
阪神タイガース,捕手,梅野　隆太郎,1991.06.17,173,75
阪神タイガース,捕手,坂本　誠志郎,1993.11.10,176,79
阪神タイガース,捕手,伏見　寅威,1990.05.12,182,89
阪神タイガース,捕手,榮枝　裕貴,1998.05.16,180,84
阪神タイガース,捕手,町田　隼乙,2003.04.03,186,86
阪神タイガース,捕手,長坂　拳弥,1994.04.28,173,84
阪神タイガース,捕手,藤田　健斗,2001.10.18,173,78
阪神タイガース,捕手,中川　勇斗,2004.01.27,172,76
阪神タイガース,捕手,嶋村　麟士朗,2003.07.13,177,90
阪神タイガース,内野手,元山　飛優,1998.12.04,181,82
阪神タイガース,内野手,木浪　聖也,1994.06.15,179,81
阪神タイガース,内野手,大山　悠輔,1994.12.19,181,96
阪神タイガース,内野手,熊谷　敬宥,1995.11.10,175,69
阪神タイガース,内野手,中野　拓夢,1996.06.28,172,68
阪神タイガース,内野手,佐藤　輝明,1999.03.13,187,96
阪神タイガース,内野手,立石　正広,2003.11.01,180,87
阪神タイガース,内野手,ディベイニー,1997.04.13,185,88
阪神タイガース,内野手,谷端　将伍,2004.03.17,178,80
阪神タイガース,内野手,糸原　健斗,1992.11.11,175,80
阪神タイガース,内野手,小幡　竜平,2000.09.21,184,78
阪神タイガース,内野手,佐野　大陽,2002.02.14,178,79
阪神タイガース,内野手,山田　脩也,2005.08.20,177,72
阪神タイガース,内野手,百﨑　蒼生,2005.09.11,179,77
阪神タイガース,内野手,植田　海,1996.04.19,175,69
阪神タイガース,内野手,髙寺　望夢,2002.10.17,178,78
阪神タイガース,外野手,森下　翔太,2000.08.14,182,93
阪神タイガース,外野手,近本　光司,1994.11.09,171,71
阪神タイガース,外野手,濱田　太貴,2000.09.04,177,81
阪神タイガース,外野手,岡城　快生,2003.06.23,183,83
阪神タイガース,外野手,井坪　陽生,2005.03.17,177,89
阪神タイガース,外野手,島田　海吏,1996.02.06,176,74
阪神タイガース,外野手,前川　右京,2003.05.18,176,92
阪神タイガース,外野手,小野寺　暖,1998.03.17,183,81
阪神タイガース,外野手,豊田　寛,1997.04.28,178,87
阪神タイガース,外野手,福島　圭音,2001.10.06,171,69
広島東洋カープ,監督,新井　貴浩,1977.01.30,,
広島東洋カープ,投手,齊藤　汰直,2003.12.07,183,90
広島東洋カープ,投手,森浦　大輔,1998.06.15,175,78
広島東洋カープ,投手,大瀬良　大地,1991.06.17,188,94
広島東洋カープ,投手,森　翔平,1998.01.01,177,86
広島東洋カープ,投手,常廣　羽也斗,2001.09.18,180,82
広島東洋カープ,投手,森下　暢仁,1997.08.25,181,81
広島東洋カープ,投手,床田　寛樹,1995.03.01,181,94
広島東洋カープ,投手,栗林　良吏,1996.07.09,177,88
広島東洋カープ,投手,中﨑　翔太,1992.08.10,187,101
広島東洋カープ,投手,髙　太一,2001.07.26,179,89
広島東洋カープ,投手,黒原　拓未,1999.11.29,173,83
広島東洋カープ,投手,益田　武尚,1998.10.06,174,86
広島東洋カープ,投手,佐藤　柳之介,2002.11.01,179,88
広島東洋カープ,投手,ケムナ　誠,1995.06.05,190,98
広島東洋カープ,投手,滝田　一希,2001.12.28,183,89
広島東洋カープ,投手,高橋　昂也,1998.09.27,182,91
広島東洋カープ,投手,工藤　泰己,2003.09.29,175,87
広島東洋カープ,投手,塹江　敦哉,1997.02.21,178,89
広島東洋カープ,投手,赤木　晴哉,2003.10.05,191,86
広島東洋カープ,投手,長谷部　銀次,1998.07.29,184,90
広島東洋カープ,投手,鈴木　健矢,1997.12.11,176,80
広島東洋カープ,投手,ターノック,1998.11.24,193,105
広島東洋カープ,投手,島内　颯太郎,1996.10.14,180,84
広島東洋カープ,投手,松本　竜也,1999.09.18,178,100
広島東洋カープ,投手,髙木　快大,2004.03.19,180,80
広島東洋カープ,投手,斉藤　優汰,2004.05.27,189,99
広島東洋カープ,投手,アドゥワ　誠,1998.10.02,196,80
広島東洋カープ,投手,岡本　駿,2002.06.12,186,89
広島東洋カープ,投手,玉村　昇悟,2001.04.16,179,89
広島東洋カープ,投手,遠藤　淳志,1999.04.08,186,90
広島東洋カープ,投手,菊地　ハルン,2007.01.21,200,117
広島東洋カープ,投手,ハーン,1994.08.30,198,118
広島東洋カープ,投手,日髙　暖己,2004.09.16,183,75
広島東洋カープ,投手,辻　大雅,2004.08.29,182,88
広島東洋カープ,捕手,會澤　翼,1988.04.13,175,95
広島東洋カープ,捕手,坂倉　将吾,1998.05.29,177,91
広島東洋カープ,捕手,石原　貴規,1998.02.03,173,88
広島東洋カープ,捕手,持丸　泰輝,2001.10.26,177,91
広島東洋カープ,捕手,清水　叶人,2004.07.06,176,92
広島東洋カープ,捕手,髙木　翔斗,2003.08.12,188,93
広島東洋カープ,内野手,羽月　隆太郎,2000.04.19,168,70
広島東洋カープ,内野手,勝田　成,2003.06.21,163,70
広島東洋カープ,内野手,矢野　雅哉,1998.12.16,171,72
広島東洋カープ,内野手,小園　海斗,2000.06.07,178,92
広島東洋カープ,内野手,堂林　翔太,1991.08.17,184,94
広島東洋カープ,内野手,佐々木　泰,2002.12.24,178,86
広島東洋カープ,内野手,菊池　涼介,1990.03.11,171,71
広島東洋カープ,内野手,林　晃汰,2000.11.16,181,100
広島東洋カープ,内野手,渡邉　悠斗,2002.07.07,182,100
広島東洋カープ,内野手,西川　篤夢,2007.12.28,184,77
広島東洋カープ,内野手,仲田　侑仁,2005.07.31,187,103
広島東洋カープ,内野手,内田　湘大,2004.09.22,183,97
広島東洋カープ,内野手,辰見　鴻之介,2000.11.24,176,67
広島東洋カープ,内野手,前川　誠太,2003.04.04,176,66
広島東洋カープ,内野手,佐藤　啓介,2001.05.24,182,93
広島東洋カープ,内野手,モンテロ,1998.08.17,190,106
広島東洋カープ,内野手,二俣　翔一,2002.10.21,180,78
広島東洋カープ,外野手,秋山　翔吾,1988.04.16,186,86
広島東洋カープ,外野手,野間　峻祥,1993.01.28,182,87
広島東洋カープ,外野手,平川　蓮,2004.03.31,187,93
広島東洋カープ,外野手,末包　昇大,1996.05.27,188,108
広島東洋カープ,外野手,久保　修,2000.09.29,181,83
広島東洋カープ,外野手,大盛　穂,1996.08.31,179,84
広島東洋カープ,外野手,田村　俊介,2003.08.25,178,95
広島東洋カープ,外野手,ファビアン,1998.03.06,180,92
広島東洋カープ,外野手,中村　奨成,1999.06.06,181,89
広島東洋カープ,外野手,中村　貴浩,2000.04.09,177,87
横浜DeNAベイスターズ,監督,相川　亮二,1976.07.11,,
横浜DeNAベイスターズ,投手,デュプランティエ,1994.07.11,193,103
横浜DeNAベイスターズ,投手,東　克樹,1995.11.29,170,80
横浜DeNAベイスターズ,投手,竹田　祐,1999.07.05,184,96
横浜DeNAベイスターズ,投手,伊勢　大夢,1998.03.07,183,94
横浜DeNAベイスターズ,投手,石田　健大,1993.03.01,180,85
横浜DeNAベイスターズ,投手,島田　舜也,2003.04.30,185,95
横浜DeNAベイスターズ,投手,大貫　晋一,1994.02.03,181,76
横浜DeNAベイスターズ,投手,小園　健太,2003.04.09,185,90
横浜DeNAベイスターズ,投手,山﨑　康晃,1992.10.02,179,88
横浜DeNAベイスターズ,投手,坂本　裕哉,1997.07.28,181,88
横浜DeNAベイスターズ,投手,入江　大生,1998.08.26,187,90
横浜DeNAベイスターズ,投手,吉野　光樹,1998.07.19,176,80
横浜DeNAベイスターズ,投手,藤浪　晋太郎,1994.04.12,197,98
横浜DeNAベイスターズ,投手,篠木　健太郎,2002.05.07,177,80
横浜DeNAベイスターズ,投手,武田　陸玖,2005.06.06,173,78
横浜DeNAベイスターズ,投手,橋本　達弥,2000.07.18,181,84
横浜DeNAベイスターズ,投手,尾形　崇斗,1999.05.15,182,90
横浜DeNAベイスターズ,投手,松本　凌人,2001.12.05,185,92
横浜DeNAベイスターズ,投手,若松　尚輝,2000.05.10,184,93
横浜DeNAベイスターズ,投手,佐々木　千隼,1994.06.08,181,83
