クラブ,名前,ポジション,生年月日,身長,体重
鹿島,早川　友基,GK,1999/3/3,187,81
鹿島,山田　大樹,GK,2002/1/8,192,90
鹿島,梶川　裕嗣,GK,1991/7/26,185,78
鹿島,藤井　陽登,GK,2003/6/5,183,79
鹿島,安西　幸輝,DF,1995/5/31,172,64
鹿島,キム　テヒョン,DF,2000/9/17,187,82
鹿島,千田　海人,DF,1994/10/17,186,82
鹿島,関川　郁万,DF,2000/9/13,182,72
鹿島,小川　諒也,DF,1996/11/24,183,78
鹿島,溝口　修平,DF,2004/2/13,174,66
鹿島,濃野　公人,DF,2002/3/26,179,67
鹿島,津久井　佳祐,DF,2004/5/21,180,70
鹿島,小池　龍太,DF,1995/8/29,170,65
鹿島,大川　佑梧,DF,2007/7/14,185,73
鹿島,松本　遥翔,DF,2006/9/29,176,73
鹿島,元砂　晏翔仁　ウデンバ,DF,2009/3/10,192,82
鹿島,植田　直通,DF,1994/10/24,186,79
鹿島,三竿　健斗,MF,1996/4/16,181,73
鹿島,柴崎　岳,MF,1992/5/28,175,64
鹿島,知念　慶,MF,1995/3/17,177,73
鹿島,樋口　雄太,MF,1996/10/30,168,66
鹿島,舩橋　佑,MF,2002/7/12,175,67
鹿島,林　晴己,MF,2003/12/5,177,73
鹿島,松村　優太,MF,2001/4/13,173,63
鹿島,荒木　遼太郎,MF,2002/1/29,170,60
鹿島,レオ　セアラ,FW,1995/2/3,178,78
鹿島,田川　亨介,FW,1999/2/11,181,70
鹿島,エウベル,FW,1992/5/27,170,70
鹿島,師岡　柊生,FW,2000/12/9,174,69
鹿島,吉田　湊海,FW,2008/7/15,172,72
鹿島,徳田　誉,FW,2007/2/18,186,83
鹿島,鈴木　優磨,FW,1996/4/26,182,75
鹿島,チャヴリッチ,FW,1994/5/18,186,82
水戸,松原　修平,GK,1992/8/11,185,87
水戸,西川　幸之介,GK,2002/9/11,181,78
水戸,上山　海翔,GK,2007/9/10,203,98
水戸,春名　竜聖,GK,2004/5/1,184,80
水戸,早川　ウワブライト,GK,2006/10/29,190,84
水戸,ダニーロ,DF,1997/3/27,183,78
水戸,牛澤　健,DF,2001/4/11,178,73
水戸,井上　聖也,DF,1999/11/9,187,80
水戸,飯田　貴敬,DF,1994/8/31,180,73
水戸,大森　渚生,DF,1999/8/19,177,75
水戸,板倉　健太,DF,2002/6/15,182,78
水戸,真瀬　拓海,DF,1998/5/3,175,70
水戸,林　和喜,DF,2008/4/17,184,78
水戸,フォファナ　マリック,DF,2000/5/2,185,80
水戸,佐々木　輝大,DF,2003/9/29,185,80
水戸,大崎　航詩,MF,1998/6/30,178,73
水戸,加藤　千尋,MF,1998/12/12,175,72
水戸,鳥海　芳樹,MF,1998/8/1,165,62
水戸,新井　瑞希,MF,1997/4/14,170,64
水戸,長尾　優斗,MF,2001/8/31,178,72
水戸,仙波　大志,MF,1999/8/19,164,62
水戸,山﨑　希一,MF,2001/10/12,167,60
水戸,安藤　晃希,MF,2007/9/22,170,60
水戸,山本　隼大,MF,2003/2/12,180,74
水戸,島谷　義進,MF,2008/3/23,176,67
