ダウンロードした時刻：2026/05/14 18:58:29

,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),平均風速(m/s),最大風速(m/s),最大風速(m/s),平均蒸気圧(hPa),平均現地気圧(hPa),平均海面気圧(hPa),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,風向,,,,,
,,,,,現象なし情報,,現象なし情報,,,,,,,,
2025/1/1,4.8,12.1,-1.4,0,1,9.4,0,2.7,7.2,南西,5.8,1020.0,1020.9,晴,晴後一時曇
2025/1/2,6.1,13.1,-0.8,0,1,7.9,0,2.6,6.4,南西,6.3,1020.1,1021.0,晴,晴後一時曇
2025/1/3,4.3,11.7,-0.7,0,1,6.5,0,4.3,11.3,西北西,4.9,1019.7,1020.6,晴時々曇,晴
2025/1/4,4.0,9.7,-0.9,0,1,5.2,0,4.2,7.0,西,4.8,1023.6,1024.5,晴後時々曇,晴時々曇
2025/1/5,3.8,9.9,-1.8,0,1,5.5,0,1.6,4.0,西南西,5.6,1023.7,1024.6,曇時々晴,曇時々晴後雨
2025/1/6,5.2,8.1,2.9,9.5,0,0.0,0,1.7,3.7,西北西,8.2,1013.7,1014.6,雨後曇,曇時々晴一時雨
2025/1/7,4.2,7.9,-0.7,0.0,0,7.0,0,6.8,12.9,西北西,5.2,1012.5,1013.4,晴後一時雪一時雨、みぞれを伴う,晴
2025/1/8,2.8,8.9,-2.4,0,1,6.5,0,4.7,11.0,西,4.8,1017.1,1018.0,晴後時々曇,晴後曇時々みぞれ一時雪
2025/1/9,1.7,5.7,-0.9,0.5,0,7.3,0,5.1,16.1,西北西,4.4,1016.3,1017.2,晴一時曇、大風を伴う,晴時々曇
2025/1/10,1.6,7.6,-3.5,0,1,5.6,0,5.0,9.1,西北西,4.4,1022.8,1023.7,晴後時々曇,晴後一時曇
2025/1/11,3.1,9.3,-2.9,0,1,9.4,0,3.2,6.3,南西,4.9,1025.0,1025.9,晴,曇時々晴
2025/1/12,4.2,9.6,-0.6,0,1,5.3,0,3.0,7.5,西北西,5.0,1019.7,1020.6,晴時々曇,晴一時曇
2025/1/13,4.8,10.7,0.0,0.0,0,6.5,0,4.1,9.0,西,5.3,1022.6,1023.5,晴後一時曇一時雨,晴後一時曇
2025/1/14,5.2,11.3,-1.3,0,1,5.4,0,3.0,7.8,西南西,6.0,1023.6,1024.5,晴後時々曇,晴後曇一時雨
2025/1/15,4.3,9.5,1.1,0.0,0,3.6,0,3.9,10.2,西北西,5.6,1020.3,1021.2,曇後晴一時雨、みぞれを伴う,晴時々曇
2025/1/16,4.1,8.9,-1.2,0,1,9.1,0,3.8,8.3,西北西,4.6,1021.9,1022.8,晴,曇時々晴、みぞれを伴う
2025/1/17,5.3,9.4,-0.2,0.0,0,1.8,0,2.6,5.6,北東,5.6,1023.1,1024.0,曇時々晴一時雨,晴
2025/1/18,3.4,10.1,-2.4,0,1,9.6,0,1.3,3.6,東南東,5.3,1024.3,1025.2,晴,曇時々晴
2025/1/19,5.4,11.7,-1.3,0,1,5.8,0,1.3,3.3,南東,6.5,1018.2,1019.1,曇時々晴,曇後時々晴
2025/1/20,7.2,14.1,1.2,0.0,0,6.8,0,2.0,6.4,南西,7.3,1013.9,1014.7,晴後一時雨一時曇,晴一時曇
2025/1/21,5.9,13.5,0.0,0.0,0,6.6,0,1.6,4.7,西南西,6.6,1018.3,1019.2,晴後雨時々曇,晴時々曇
2025/1/22,6.0,14.2,-0.1,0,1,9.0,0,1.8,6.8,南西,6.8,1022.5,1023.4,晴,晴後時々曇
2025/1/23,6.7,14.4,0.6,0,1,8.7,0,1.2,3.2,南,7.3,1022.6,1023.5,晴,晴
2025/1/24,7.5,14.4,1.6,0,1,7.4,0,1.7,4.4,北東,7.1,1022.4,1023.3,晴一時曇,曇時々晴
2025/1/25,6.8,11.3,2.9,0,1,8.3,0,3.3,8.5,北,5.7,1024.1,1025.0,晴,晴時々曇
2025/1/26,5.2,11.3,-1.0,0,1,8.3,0,2.9,7.5,北北西,5.4,1021.8,1022.7,晴,曇時々晴
2025/1/27,5.9,9.3,2.6,0.5,0,2.4,0,1.8,8.4,西北西,6.8,1013.9,1014.8,曇後一時雨一時晴,雨後曇時々晴
2025/1/28,5.0,9.4,0.6,0.0,0,5.8,0,5.2,9.2,西,4.5,1013.8,1014.7,晴一時雨後曇,晴
2025/1/29,4.1,8.9,1.1,0.0,0,7.9,0,6.9,12.0,西,4.3,1017.8,1018.7,晴後曇一時雨、みぞれを伴う,晴後一時曇
2025/1/30,3.6,7.9,0.6,0,1,7.2,0,5.6,9.8,西,4.3,1023.8,1024.7,晴時々曇,晴時々曇
2025/1/31,4.7,10.2,0.5,0,1,3.6,0,2.6,6.5,西,5.0,1025.9,1026.8,曇時々晴,曇時々晴
2025/2/1,4.1,9.4,0.8,18.0,0,1.1,0,2.1,4.8,東北東,6.2,1021.5,1022.4,曇一時晴後雨,雨一時みぞれ
2025/2/2,5.5,9.8,2.8,2.0,0,1.2,0,1.5,4.5,南西,8.1,1014.1,1015.0,曇一時雨,曇一時晴、霧を伴う
2025/2/3,5.5,11.9,0.7,0.0,0,5.0,0,4.2,12.6,西北西,6.4,1010.5,1011.4,晴時々曇一時雨、霧を伴う,晴一時雨
2025/2/4,1.2,5.8,-1.4,0,1,8.4,0,7.2,11.8,西,3.8,1009.9,1010.8,晴時々曇,晴
2025/2/5,-0.3,4.7,-3.1,0.0,0,7.3,0,6.8,15.3,西北西,3.5,1012.1,1013.0,晴時々曇一時雪、大風を伴う,晴
2025/2/6,-0.2,5.2,-5.0,0.0,0,6.9,0,5.1,11.3,西,3.7,1017.2,1018.1,晴後曇一時雪,晴時々曇
2025/2/7,0.1,5.7,-4.7,0.0,0,4.2,0,5.2,14.1,西北西,4.4,1014.1,1015.0,曇後晴時々みぞれ一時雨,晴一時雪、みぞれを伴う
2025/2/8,-0.1,6.8,-5.0,0,1,8.1,0,5.1,9.2,西北西,3.6,1018.7,1019.6,晴後一時曇,晴
2025/2/9,1.2,8.9,-4.5,0.0,0,5.4,0,2.6,6.7,北西,4.7,1021.9,1022.8,晴後曇一時雨、みぞれを伴う,晴、みぞれを伴う
2025/2/10,2.5,9.3,-3.6,0.0,0,6.0,0,3.9,10.7,西北西,4.6,1022.4,1023.3,晴後曇一時雨,晴時々曇
2025/2/11,3.6,10.0,-1.9,0,1,6.0,0,3.0,6.3,西北西,4.8,1027.2,1028.1,曇時々晴,晴
2025/2/12,1.9,4.5,-1.5,0.5,0,0.0,0,1.9,4.0,北東,6.3,1017.6,1018.5,曇時々雪後雨、みぞれを伴う,曇時々雨
2025/2/13,5.2,9.1,0.1,0.5,0,8.5,0,4.5,10.5,西北西,5.4,1016.8,1017.7,晴時々雨、みぞれを伴う,晴
2025/2/14,4.0,12.5,-2.9,0,1,10.2,0,2.6,6.6,南西,5.3,1020.1,1021.0,晴,晴
2025/2/15,5.6,12.3,-1.6,0.0,0,5.5,0,1.5,3.6,南東,6.1,1018.8,1019.7,晴時々曇,雨時々曇
2025/2/16,8.1,13.6,4.7,1.5,0,6.0,0,2.3,6.0,南西,8.8,1014.0,1014.9,曇時々晴,晴時々曇
2025/2/17,5.5,10.6,0.6,0.0,0,6.6,0,5.7,12.4,西北西,5.6,1014.9,1015.8,晴時々雨一時曇,晴
2025/2/18,1.9,8.5,-1.9,0.0,0,5.3,0,4.2,10.5,西北西,4.9,1018.7,1019.6,晴後みぞれ時々雨一時曇,晴時々雪、みぞれを伴う
2025/2/19,1.8,8.6,-2.7,0.0,0,7.9,0,4.1,9.7,西北西,4.7,1021.4,1022.3,晴後曇一時雪、みぞれを伴う,晴
2025/2/20,2.5,9.9,-4.0,0.0,0,7.1,0,2.8,7.4,南西,4.8,1024.1,1025.0,晴後曇一時雨,晴時々曇
2025/2/21,3.3,8.8,-1.5,0.0,0,4.8,0,3.2,6.5,西北西,4.7,1024.1,1025.0,曇一時晴後時々雨、みぞれを伴う,晴
2025/2/22,2.0,7.3,-2.8,0.0,0,7.5,0,4.4,11.1,西北西,4.3,1025.9,1026.8,晴時々雪一時曇、みぞれを伴う,晴後一時曇
2025/2/23,1.8,8.5,-3.2,0.5,0,5.8,0,2.4,6.9,北西,5.0,1024.8,1025.7,晴後雨時々曇、みぞれを伴う,曇一時雨後晴、みぞれを伴う
2025/2/24,1.8,8.0,-3.2,0.0,0,8.5,0,4.2,9.3,西北西,4.4,1024.9,1025.8,晴時々雪、みぞれを伴う,晴
2025/2/25,3.8,11.5,-3.9,0,1,10.8,0,2.1,6.0,南西,4.5,1026.7,1027.6,晴,曇一時晴
2025/2/26,8.5,14.4,3.5,0,1,8.6,0,4.3,8.8,南西,6.2,1021.3,1022.2,晴,晴後一時曇
2025/2/27,8.0,15.6,0.6,0,1,8.3,0,1.7,5.9,南南西,6.0,1022.6,1023.5,晴時々曇,曇後一時雨
2025/2/28,8.4,12.4,4.4,0.0,0,1.2,0,1.4,4.0,南,8.0,1021.0,1021.9,雨後曇時々晴,晴
2025/3/1,8.8,15.7,1.6,0.0,0,7.8,0,1.5,3.8,南東,9.1,1020.5,1021.4,晴時々曇、霧を伴う,曇一時晴後雨
2025/3/2,12.2,14.8,10.1,4.0,0,0.0,0,1.0,2.5,東北東,13.2,1015.8,1016.6,雨時々曇,雨
2025/3/3,8.2,12.8,5.2,23.0,0,0.0,0,3.6,8.8,北,8.8,1016.2,1017.0,雨時々曇,雨時々曇
2025/3/4,5.5,7.6,3.5,20.5,0,0.0,0,3.1,6.4,東北東,8.4,1017.5,1018.4,雨,雨時々曇
2025/3/5,9.0,13.4,6.9,0.0,0,0.0,0,2.8,6.8,北北西,9.3,1015.1,1016.0,曇時々雨,曇一時晴
2025/3/6,7.0,11.4,4.3,0.0,0,4.2,0,4.2,9.2,西北西,6.6,1019.3,1020.2,曇時々晴一時雨,晴一時雨
2025/3/7,5.0,9.2,0.6,0.0,0,5.0,0,3.7,6.7,北北西,5.0,1026.1,1027.0,晴一時雨後曇,曇時々晴
2025/3/8,4.6,10.3,0.6,0,1,3.6,0,1.6,4.4,南,5.6,1025.9,1026.8,曇時々晴,晴
2025/3/9,6.5,14.9,-0.9,0,1,9.3,0,1.8,5.7,北北東,5.8,1028.4,1029.2,晴,晴
2025/3/10,7.7,14.1,0.0,0.0,0,9.7,0,2.0,4.7,南東,5.6,1028.3,1029.2,晴後一時曇,曇時々雨
2025/3/11,9.6,12.6,6.2,2.0,0,0.0,0,1.7,3.5,東,9.9,1021.7,1022.6,雨時々曇,曇後晴一時雨
2025/3/12,12.7,18.1,9.9,0.0,0,2.4,0,1.8,5.0,南南西,12.2,1016.0,1016.8,曇一時雨,曇後一時晴
2025/3/13,11.5,17.9,6.0,0,1,2.3,0,2.6,7.1,北,8.3,1018.6,1019.5,曇一時晴,晴時々曇
2025/3/14,9.7,18.1,2.5,0,1,8.3,0,2.2,5.1,北,5.3,1024.4,1025.3,晴時々曇,曇時々晴
2025/3/15,6.8,8.7,5.8,2.5,0,0.0,0,2.6,6.2,北,7.2,1021.9,1022.8,雨時々曇,雨
2025/3/16,7.5,10.6,5.2,20.5,0,0.6,0,2.9,8.0,西,9.4,1005.9,1006.7,雨後一時曇,晴一時雨後曇
2025/3/17,6.5,10.9,3.5,0.0,0,3.9,0,5.2,10.0,西,6.2,1010.6,1011.5,曇後晴時々雨,曇後時々晴
2025/3/18,4.9,12.4,0.9,0.5,0,6.0,0,2.6,13.2,西,6.5,1013.1,1014.0,晴後雨時々曇,晴一時雨
2025/3/19,4.2,10.1,0.0,0,1,5.8,0,4.5,10.9,北西,5.1,1019.0,1019.9,曇時々晴,晴後一時曇
2025/3/20,5.3,12.3,-0.4,0,1,5.3,0,2.7,8.3,南西,6.0,1020.3,1021.2,曇時々晴,晴
2025/3/21,10.4,18.4,1.1,0,1,10.8,0,3.6,10.6,南西,7.9,1014.6,1015.5,晴,晴
2025/3/22,15.1,22.1,6.3,0,1,11.3,0,4.6,9.6,南南西,8.7,1010.4,1011.3,晴,晴
2025/3/23,15.8,24.5,6.9,0,1,11.3,0,4.0,9.9,南西,8.5,1010.7,1011.6,晴,曇時々晴
2025/3/24,14.2,23.7,9.7,0.0,0,4.5,0,2.8,13.9,西,10.6,1008.5,1009.3,曇後一時晴一時雨,晴時々曇
2025/3/25,16.7,25.2,8.3,0,1,10.4,0,3.7,10.4,南西,10.6,1004.3,1005.1,晴一時曇,晴一時曇
2025/3/26,18.9,26.2,12.2,0,1,10.8,0,3.3,6.2,西,10.1,1007.0,1007.8,晴,晴
