ダウンロードした時刻：2026/05/22 15:15:16

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),平均蒸気圧(hPa),平均現地気圧(hPa)
,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,
1900/1,,14.1,-6.1,69.2,0,18.8,0,,
1900/2,,15.6,-4.1,31.3,0,13.8,0,,
1900/3,,19.9,-3.5,69.3,0,28.0,0,,
1900/4,,24.1,3.7,168.6,0,45.0,0,,
1900/5,,29.6,7.7,127.3,0,36.8,0,,
1900/6,,29.1,10.3,89.4,0,47.5,0,,
1900/7,,34.9,15.6,122.1,0,56.9,0,,
1900/8,,35.1,16.8,66.3,0,44.7,0,,
1900/9,,31.8,13.3,173.9,0,56.2,0,,
1900/10,,26.9,7.0,113.6,0,27.0,0,,
1900/11,,21.9,1.1,131.9,0,35.2,0,,
1900/12,,20.2,-2.9,25.1,0,17.7,0,,
1901/1,,14.1,-3.3,74.4,0,37.9,0,,
1901/2,,17.3,-7.9,30.2,0,15.9,0,,
1901/3,,19.8,-3.7,131.2,0,61.3,0,,
1901/4,,25.4,1.9,132.6,0,31.0,0,,
1901/5,,26.6,7.9,149.3,0,74.4,0,,
1901/6,,31.0,12.0,172.1,0,31.3,0,,
1901/7,,32.4,15.6,229.0,0,39.5,0,,
1901/8,,35.6,16.2,53.8,0,28.0,0,,
1901/9,,31.3,12.0,130.8,0,65.3,0,,
1901/10,,27.6,6.6,311.1,0,51.5,0,,
1901/11,,20.2,-1.9,63.6,0,26.4,0,,
1901/12,,17.0,-4.5,110.8,0,80.5,0,,
1902/1,,15.5,-6.6,33.4,0,15.1,0,,
1902/2,,17.8,-4.4,20.9,0,8.2,0,,
1902/3,,22.8,-1.2,92.4,0,16.5,0,,
1902/4,,25.3,-0.3,140.3,0,29.8,0,,
1902/5,,25.5,2.4,222.7,0,38.5,0,,
1902/6,,29.9,10.4,204.7,0,36.6,0,,
1902/7,,31.3,15.4,159.6,0,36.6,0,,
1902/8,,32.5,16.9,310.3,0,66.3,0,,
1902/9,,29.5,13.1,244.2,0,64.0,0,,
1902/10,,25.2,8.1,104.7,0,43.3,0,,
1902/11,,23.8,1.9,105.1,0,31.0,0,,
1902/12,,18.8,-1.9,115.4,0,33.8,0,,
1903/1,,15.5,-2.9,122.4,0,21.5,0,,
1903/2,,16.0,-4.4,80.0,0,36.8,0,,
1903/3,,20.5,0.9,165.9,0,27.2,0,,
1903/4,,21.8,3.5,155.5,0,34.2,0,,
1903/5,,27.0,4.0,159.0,0,47.7,0,,
1903/6,,28.4,10.4,145.4,0,34.8,0,,
1903/7,,30.7,15.6,286.8,0,47.6,0,,
1903/8,,33.7,17.7,22.6,0,10.5,0,,
1903/9,,34.7,13.4,284.4,0,164.8,0,,
1903/10,,23.0,6.4,294.7,0,120.0,0,,
1903/11,,18.3,0.8,130.0,0,45.8,0,,
1903/12,,13.9,-5.8,65.5,0,28.9,0,,
1904/1,,15.2,-6.4,7.0,0,3.3,0,,
1904/2,,17.9,-4.1,67.7,0,24.1,0,,
1904/3,,19.3,-2.5,101.5,0,27.3,0,,
1904/4,,23.0,3.6,97.3,0,25.2,0,,
1904/5,,25.7,8.7,142.4,0,41.8,0,,
1904/6,,32.5,12.6,91.6,0,32.0,0,,
1904/7,,30.9,16.8,239.4,0,61.4,0,,
1904/8,,32.3,18.3,74.7,0,61.8,0,,
1904/9,,31.0,10.6,200.5,0,60.5,0,,
1904/10,,25.7,4.0,248.8,0,126.1,0,,
1904/11,,21.3,-0.4,14.5,0,9.1,0,,
1904/12,,19.1,-4.4,96.4,0,26.4,0,,
1905/1,,13.8,-3.9,59.8,0,15.7,0,,
1905/2,,11.0,-5.3,47.6,0,28.3,0,,
1905/3,,19.2,-3.1,97.9,0,32.4,0,,
1905/4,,23.6,3.6,152.2,0,34.9,0,,
1905/5,,26.8,5.7,131.0,0,55.1,0,,
1905/6,,28.7,14.4,237.4,0,41.6,0,,
1905/7,,31.0,17.0,94.2,0,35.7,0,,
1905/8,,32.9,16.9,202.5,0,106.8,0,,
1905/9,,32.0,13.1,83.5,0,34.2,0,,
1905/10,,24.4,7.8,70.5,0,42.5,0,,
1905/11,,23.7,1.1,66.8,0,21.7,0,,
1905/12,,19.3,-2.8,86.7,0,22.4,0,,
1906/1,,15.8,-4.5,62.5,0,48.4,0,,
1906/2,,10.1,-4.1,166.7,0,37.6,0,,
1906/3,,19.6,-2.4,61.5,0,16.5,0,,
1906/4,,23.5,1.1,43.5,0,16.3,0,,
1906/5,,27.0,6.8,80.6,0,29.9,0,,
1906/6,,27.9,12.6,165.3,0,75.8,0,,
1906/7,,31.4,14.7,154.9,0,50.8,0,,
1906/8,,32.8,15.8,253.5,0,171.5,0,,
1906/9,,28.5,10.5,226.4,0,58.6,0,,
1906/10,,28.2,8.8,220.5,0,72.5,0,,
1906/11,,24.0,-1.2,61.7,0,16.5,0,,
1906/12,,20.2,-4.0,22.4,0,19.6,0,,
1907/1,,13.9,-6.9,47.1,0,21.4,0,,
1907/2,,17.1,-5.3,4.4,0,1.9,0,,
1907/3,,17.8,-5.4,144.1,0,50.4,0,,
1907/4,,24.1,-0.7,143.8,0,51.5,0,,
1907/5,,26.5,8.0,168.1,0,46.5,0,,
1907/6,,28.6,11.1,169.8,0,62.8,0,,
1907/7,,30.5,15.1,102.9,0,32.2,0,,
1907/8,,31.6,20.4,219.0,0,49.0,0,,
1907/9,,30.7,12.9,265.9,0,111.7,0,,
1907/10,,25.2,3.1,226.2,0,110.4,0,,
1907/11,,22.4,2.6,127.6,0,36.7,0,,
1907/12,,18.2,-3.8,21.5,0,19.0,0,,
1908/1,,20.3,-5.1,28.3,0,16.0,0,,
1908/2,,15.8,-3.7,35.6,0,18.7,0,,
1908/3,,22.0,-2.9,137.0,0,48.8,0,,
1908/4,,23.8,0.0,185.3,0,58.7,0,,
1908/5,,25.7,4.8,147.8,0,43.2,0,,
1908/6,,30.7,14.4,219.0,0,59.5,0,,
1908/7,,32.5,14.0,152.8,0,55.2,0,,
1908/8,,33.2,18.8,223.6,0,59.1,0,,
1908/9,,28.0,11.5,370.6,0,89.2,0,,
1908/10,,24.1,6.9,116.5,0,46.5,0,,
1908/11,,20.4,-1.0,14.8,0,11.6,0,,
1908/12,,16.4,-3.8,60.8,0,16.3,0,,
1909/1,,17.1,-5.9,103.9,0,31.5,0,,
1909/2,,15.7,-5.6,32.0,0,15.8,0,,
1909/3,,22.8,-0.3,196.6,0,45.0,0,,
1909/4,,24.0,0.8,140.3,0,40.3,0,,
1909/5,,26.3,6.5,178.1,0,39.4,0,,
1909/6,,28.2,15.1,172.6,0,28.2,0,,
1909/7,,33.9,16.8,118.3,0,44.8,0,,
1909/8,,32.3,19.1,92.2,0,21.2,0,,
1909/9,,31.5,13.3,346.5,0,74.1,0,,
