É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/05/14 19:03:54

,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ,íπéÊ
îNåé,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ç≈ëÂïóë¨(m/s),ç≈ëÂïóë¨(m/s),ïΩãœèˆãCà≥(hPa),ïΩãœåªínãCà≥(hPa),ïΩãœäCñ ãCà≥(hPa)
,,,,,,,,,,ïóå¸,,,
,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,,,,,
2007/9,24.8,33.9,15.5,74.0,0,143.2,0,2.8,,,24.0,1010.4,1012.2
2007/10,17.7,29.0,8.3,128.0,0,166.9,0,2.6,,,15.2,1016.1,1018.0
2007/11,11.2,21.1,2.4,74.0,0,122.7,0,2.9,,,9.9,1018.5,1020.4
2007/12,7.7,15.4,-0.3,157.0,0,80.8,0,3.1,,,8.0,1016.6,1018.6
2008/1,4.0,15.8,-1.3,215.0,0,64.3,0,2.9,,,6.4,1019.7,1021.7
2008/2,3.0,14.3,-1.8,215.0,0,76.3,0,3.3,,,5.8,1018.3,1020.3
2008/3,8.5,19.2,0.1,174.0,0,142.6,0,3.2,,,8.0,1015.5,1017.4
2008/4,13.0,29.2,2.8,173.0,0,162.8,0,3.2,,,10.5,1013.0,1014.9
2008/5,17.8,31.4,5.0,145.0,0,200.1,0,3.1,,,13.5,1009.1,1010.9
2008/6,20.7,31.6,11.4,220.5,0,120.1,0,2.5,8.1,ìÏ,18.8,1008.2,1010.0
2008/7,27.3,36.4,16.6,129.5,0,229.1,0,2.6,12.5,êºñkêº,26.9,1007.1,1008.9
2008/8,26.6,36.3,17.3,166.0,0,187.4,0,2.6,10.1,ìÏ,26.3,1006.3,1008.1
2008/9,23.0,33.7,12.7,103.5,0,148.1,0,2.3,9.1,ñk,21.9,1010.7,1012.6
2008/10,17.6,29.2,8.4,43.5,0,161.9,0,2.7,8.6,ñkìå,15.1,1016.1,1018.0
2008/11,11.2,23.2,0.8,160.0,0,121.3,0,2.8,10.6,êºìÏêº,10.1,1017.5,1019.5
2008/12,7.7,18.4,-0.3,155.0,0,121.6,0,3.3,13.9,êº,7.6,1018.4,1020.4
2009/1,3.5,15.5,-2.5,320.5,0,80.9,0,3.1,11.8,ñk,6.3,1018.8,1020.8
2009/2,6.5,19.3,-1.9,123.5,0,74.4,0,3.2,13.6,ìÏ,7.1,1016.5,1018.5
2009/3,8.2,24.4,-1.0,105.5,0,121.3,0,3.4,17.4,ìÏìÏìå,7.4,1016.2,1018.2
2009/4,13.3,25.9,1.8,98.0,0,217.6,0,3.3,16.5,ìÏ,9.6,1013.0,1014.9
2009/5,17.6,29.4,7.9,56.0,0,157.0,0,2.9,13.8,ìÏ,13.3,1010.8,1012.7
2009/6,22.4,33.8,11.8,154.5,0,180.3,0,2.7,9.7,ìÏìÏìå,18.5,1005.2,1007.0
2009/7,25.4,34.8,17.9,239.0,0,78.6,0,2.9,9.7,êºñkêº,24.5,1005.3,1007.1
2009/8,25.7,34.3,17.0,105.0,0,150.0,0,2.5,9.5,ìÏìÏìå,25.0,1007.7,1009.5
2009/9,21.9,31.3,12.8,70.5,0,178.7,0,2.3,8.2,ìÏ,19.5,1011.6,1013.5
2009/10,17.1,29.9,8.1,137.0,0,168.7,0,2.7,11.6,ñk,14.0,1013.9,1015.8
